"id","host_is_superhost","neighbourhood_cleansed","zipcode","property_type","accommodates","bathrooms","bedrooms","price","review_scores_rating","availability_365"
"28632783","f","Bay Street Corridor","M5H 4C9","Condominium","2.0","1.0","0.0","125.0","100.0","86.0"
"28763592","t","Bay Street Corridor","M5H 0B1","Condominium","5.0","1.0","2.0","170.0","96.0","77.0"
"29763025","t","Waterfront Communities-The Island","M5H 4C9","Apartment","4.0","1.0","1.0","199.0","94.0","165.0"
"30377858","t","Bay Street Corridor","M5H 0B1","Condominium","4.0","1.0","2.0","139.0","96.0","175.0"
"31038635","f","Bay Street Corridor","M5H 0B1","Loft","4.0","1.0","1.0","119.0","96.0","153.0"
"31763126","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","0.0","119.0","93.0","255.0"
"31808608","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","0.0","251.0","91.0","255.0"
"31858389","t","Bay Street Corridor","M5H 0B1","Condominium","4.0","2.0","2.0","129.0","98.0","207.0"
"31879115","t","Waterfront Communities-The Island","M5h4m7","Condominium","2.0","1.0","1.0","135.0","96.0","70.0"
"32408725","f","Bay Street Corridor","M5H 0B1","Apartment","1.0","1.5","1.0","110.0","88.0","227.0"
"32409582","f","Bay Street Corridor","M5H 0B1","Apartment","1.0","1.5","1.0","30.0","94.0","176.0"
"32736801","t","Bay Street Corridor","M5H 0B1","Condominium","4.0","1.0","2.0","129.0","99.0","186.0"
"33216845","t","Bay Street Corridor","M5H 0B1","Condominium","6.0","1.0","2.0","188.0","98.0","109.0"
"33254028","t","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","0.0","89.0","94.0","171.0"
"33576867","f","Waterfront Communities-The Island","M5H 4E9","Apartment","4.0","1.0","2.0","150.0","40.0","35.0"
"33593969","t","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","0.0","159.0","97.0","139.0"
"33620741","t","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","0.0","125.0","93.0","154.0"
"33767596","f","Bay Street Corridor","M5H 0B1","Apartment","2.0","1.0","1.0","99.0","45.0","239.0"
"34118162","t","Waterfront Communities-The Island","M5H 4E9","Condominium","2.0","1.0","0.0","121.0","90.0","35.0"
"34251650","f","Bay Street Corridor","M5H 0B1","Condominium","6.0","2.0","2.0","251.0","92.0","208.0"
"34354883","f","Bay Street Corridor","M5H 4C9","Condominium","6.0","1.0","2.0","111.0","97.0","270.0"
"34397956","f","Bay Street Corridor","M5H 0B1","Condominium","3.0","1.0","1.0","144.0","95.0","206.0"
"35005997","f","Bay Street Corridor","M5H 0B1","Condominium","6.0","2.0","2.0","335.0","95.0","222.0"
"35122191","t","Bay Street Corridor","M5H 0B1","Apartment","2.0","1.0","1.0","126.0","98.0","43.0"
"35319695","t","Bay Street Corridor","M5H 0B1","Condominium","6.0","2.0","2.0","300.0","96.0","159.0"
"35879778","t","Bay Street Corridor","M5H 0B1","Condominium","4.0","2.0","2.0","209.0","99.0","153.0"
"35908980","f","Bay Street Corridor","M5H 4E9","Serviced apartment","2.0","1.0","1.0","109.0","null","25.0"
"35972493","f","Waterfront Communities-The Island","M5H 3G2","Loft","5.0","1.0","2.0","190.0","94.0","82.0"
"35999015","t","Waterfront Communities-The Island","M5H 4E9","Condominium","2.0","1.0","1.0","125.0","99.0","93.0"
"36142580","f","Waterfront Communities-The Island","M5H 1X6","Apartment","8.0","1.0","1.0","111.0","94.0","249.0"
"36524959","f","Bay Street Corridor","M5H 0B1","Condominium","6.0","1.0","2.0","190.0","95.0","165.0"
"36605216","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","87.0","90.0","72.0"
"36912671","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","0.0","251.0","null","273.0"
"37378179","f","Bay Street Corridor","M5H 0B1","Apartment","3.0","1.0","1.0","240.0","93.0","241.0"
"37493247","t","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","57.0","100.0","10.0"
"37864628","t","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","68.0","95.0","213.0"
"38159675","t","Bay Street Corridor","M5H 0B1","Condominium","3.0","1.5","1.0","121.0","95.0","91.0"
"38264892","f","Bay Street Corridor","M5H 0B1","Condominium","4.0","1.0","1.0","300.0","60.0","192.0"
"38387799","f","Waterfront Communities-The Island","M5H 1K4","Condominium","4.0","1.0","1.0","85.0","90.0","33.0"
"38525757","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","99.0","80.0","43.0"
"38549285","f","Bay Street Corridor","M5H 0B1","Condominium","6.0","1.0","2.0","200.0","100.0","62.0"
"38615249","f","Bay Street Corridor","M5H 0B1","Apartment","5.0","1.0","1.0","240.0","91.0","241.0"
"38652121","t","Bay Street Corridor","M5H 0B1","Condominium","3.0","1.0","1.0","99.0","100.0","57.0"
"38735169","f","Bay Street Corridor","M5H 0B1","Condominium","4.0","2.0","2.0","160.0","83.0","47.0"
"38905318","f","Waterfront Communities-The Island","M5H 1X6","Condominium","8.0","1.0","1.0","111.0","70.0","249.0"
"39035802","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","0.0","121.0","null","84.0"
"39201936","f","Bay Street Corridor","M5H 0B1","Condominium","3.0","1.0","1.0","240.0","100.0","54.0"
"39247071","t","Bay Street Corridor","M5H 0B1","Condominium","4.0","1.0","0.0","141.0","97.0","134.0"
"39280096","t","Bay Street Corridor","M5H 0B1","Condominium","4.0","2.0","2.0","258.0","98.0","143.0"
"39359675","t","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","99.0","96.0","193.0"
"39360639","t","Bay Street Corridor","M5H 0B1","Condominium","4.0","2.0","2.0","129.0","100.0","131.0"
"39361273","f","Bay Street Corridor","M5H 0B1","Condominium","4.0","2.0","2.0","129.0","95.0","182.0"
"39650803","f","Bay Street Corridor","M5H 0B1","Condominium","6.0","1.0","2.0","251.0","90.0","156.0"
"39736418","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","99.0","96.0","171.0"
"39815320","f","Bay Street Corridor","M5H 0B1","Apartment","4.0","1.0","1.0","200.0","null","192.0"
"40007953","f","Bay Street Corridor","M5H 0B1","Condominium","5.0","1.0","2.0","155.0","null","107.0"
"40080692","f","Bay Street Corridor","M5H 3K6","Condominium","4.0","2.0","2.0","199.0","null","112.0"
"40283097","t","Bay Street Corridor","M5H 4E6","Condominium","5.0","1.0","2.0","148.0","null","228.0"
"40314445","f","Waterfront Communities-The Island","M5H 0A3","Condominium","1.0","1.0","1.0","49.0","97.0","192.0"
"40397526","f","Waterfront Communities-The Island","M5H 4E9","Serviced apartment","2.0","1.0","1.0","99.0","null","22.0"
"40397813","f","Waterfront Communities-The Island","M5H 4E9","Serviced apartment","2.0","1.0","1.0","130.0","null","41.0"
"40553623","f","Waterfront Communities-The Island","M5H 4E9","Serviced apartment","2.0","1.0","1.0","150.0","null","129.0"
"40617564","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","119.0","80.0","75.0"
"40660061","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","99.0","96.0","118.0"
"40964639","f","Bay Street Corridor","M5H 0B1","Condominium","2.0","1.0","1.0","119.0","null","113.0"
"40994969","f","Waterfront Communities-The Island","M5H 4E9","Condominium","6.0","1.0","2.0","300.0","96.0","236.0"
"41019657","f","Bay Street Corridor","M5H 0B1","Condominium","3.0","1.0","1.0","200.0","100.0","242.0"
"41377951","f","Waterfront Communities-The Island","M5H 4C9","Condominium","6.0","1.0","2.0","111.0","null","270.0"
"41698210","f","Waterfront Communities-The Island","M5H 1K4","Condominium","2.0","1.0","1.0","80.0","null","244.0"
